,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
6230,False,/fnJSdpNNBbWTpebRuhOywcGmqam.jpg,"[35, 10749]",156711,en,Austenland,"Obsessed with the BBC production of ""Pride and Prejudice"", a woman travels to a Jane Austen theme park in search for her perfect gentleman.",11.977,/8f9XX2rIOY5kmzivS5sZfnVuCxE.jpg,2013-08-15,Austenland,False,6.4,383
6231,False,/uXQxMjg57mGmXdFnAatnKFekdXk.jpg,"[18, 35, 10749]",14055,en,Starter for 10,"In 1985, against the backdrop of Thatcherism, Brian Jackson enrolls in the University of Bristol, a scholarship boy from seaside Essex with a love of knowledge for its own sake and a childhood spent watching University Challenge, a college quiz show. At Bristol he tries out for the Challenge team and falls under the spell of Alice, a lovely blond with an extensive sexual past.",12.814,/wUT0OLYY9HouuAkVFNchponJ5gQ.jpg,2006-09-13,Starter for 10,False,6.4,335
6232,False,/eYrjffVvcc0MEgy9RcquvWyBGtQ.jpg,"[878, 28]",9425,en,Soldier,"Sergeant Todd is a veteran soldier for an elite group of the armed forces. After being defeated by a new breed of genetically engineered soldiers, he is dumped on a waste planet and left for dead. He soon interacts with a group of crash survivors who lead out a peaceful existence. The peace is broken as the new soldiers land on the planet to eliminate the colony, which Sergeant Todd must defend.",18.655,/6ZWFvwpnOMcZBtRCjHaT5ozhRKV.jpg,1998-10-23,Soldier,False,6.4,669
6233,False,/5tsQ6QrKa7to3S2DCosSOYrJ6OE.jpg,"[18, 36]",5653,en,Luther,"During the early 16th Century idealistic German monk Martin Luther, disgusted by the materialism in the church, begins the dialogue that will lead to the Protestant Reformation.",26.628,/41bE4D3cbBkmO3cC6c36SthV8ZD.jpg,2003-10-29,Luther,False,6.4,267
6234,False,/kEYzCALqaU8cMMRPtghjAjcLRQi.jpg,"[28, 80, 35]",315,en,"Faster, Pussycat! Kill! Kill!","Three strippers seeking thrills encounter a young couple in the desert. After dispatching the boyfriend, they take the girl hostage and begin scheming on a crippled old man living with his two sons in the desert, reputedly hiding a tidy sum of cash. They become house guests of the old man and try and seduce the sons in an attempt to locate the money, not realizing that the old man has a few sinister intentions of his own.",13.813,/4mld2L1vWqgqFQmKa7KU4HzLKPi.jpg,1965-08-06,"Faster, Pussycat! Kill! Kill!",False,6.4,245
6235,False,/xmLLkEhqIw0Me0wgO9ZhtP0MW7U.jpg,"[53, 18, 28, 80]",561362,en,Rust Creek,"When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.",19.646,/lrsPIRkKZWTKbd3C0sSj7a3lMES.jpg,2019-01-04,Rust Creek,False,6.4,248
6236,False,/pYUwk30i62GN8gcKeQTuzdZGxHk.jpg,[18],527660,en,"Yes, God, Yes","Alice, a young innocent Catholic girl, is tempted into masturbating after an AOL chat suddenly turns sexual, however is conflicted as the act would be considered a sin.",19.472,/tDLPRPNKqNCZXEurLTT70rMJpgK.jpg,2020-07-24,"Yes, God, Yes",False,6.4,417
6237,False,/8KFAnl84oi6QSjFDCIGFgZPiOph.jpg,"[14, 9648, 53, 18]",294795,en,The 9th Life of Louis Drax,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.,12.956,/j4aI8CTYQouE98IlYsEZim06yyx.jpg,2016-09-01,The 9th Life of Louis Drax,False,6.4,389
6238,False,/SPkEiZGxq5aHWQ2Zw7AITwSEo2.jpg,"[12, 28, 878]",181812,en,Star Wars: The Rise of Skywalker,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",47.857,/db32LaOibwEliAmSL2jjDF6oDdj.jpg,2019-12-18,Star Wars: The Rise of Skywalker,False,6.4,8212
6239,False,/zBaD77QHVJNp9FFlPPwjTZLH2N.jpg,"[18, 28, 35, 80]",34769,en,Defendor,"A crooked cop, a mob boss and the young girl they abuse are the denizens of a city's criminal underworld. It's a world that ordinary Arthur Poppington doesn't understand and doesn't belong in, but is committed to fighting when he changes into a vigilante super-hero of his own making, Defendor. With no power other than courage Defendor takes to the streets to protect the city's innocents.",10.763,/a1ce5xYYkwSCqIHh0nGKnh7Zs7Q.jpg,2009-09-12,Defendor,False,6.4,462
6240,False,/h5X5zO40G0pjPkyyzGh9PBsPI0B.jpg,[27],27346,en,Maniac,"A psychotic man, troubled by his childhood abuse, loose in NYC, kills young women and local girl American models and takes their scalps as trophies. Will he find the perfect woman in photographer Anna, and end his killing spree.",10.211,/aKIBqbUZAEwOML4oMMjZS7m4Gvj.jpg,1980-11-14,Maniac,False,6.4,329
6241,False,/30Z4DjbSJEW9oZv4hAksiAmji7r.jpg,"[35, 27, 878]",16296,en,Killer Klowns from Outer Space,Aliens disguised as clowns crash land on Earth in a rural town to capture unsuspecting victims in cotton candy cocoons for later consumption.,27.551,/gkgqtr2weef0sUM3k1mFe52iola.jpg,1988-05-27,Killer Klowns from Outer Space,False,6.4,739
6242,False,/dMARcKLrv0T7kVJ4iQR3vqTTdtT.jpg,"[28, 80, 18, 53]",9615,en,The Fast and the Furious: Tokyo Drift,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",12.491,/cm2ffqb3XovzA5ZSzyN3jnn8qv0.jpg,2006-06-03,The Fast and the Furious: Tokyo Drift,False,6.4,5633
6243,False,/hCJ3xGMyzwpBcUlBGJGyUwDgQ4d.jpg,"[878, 28, 80]",10540,en,Outland,"An honest marshal in a corrupt mining colony on Io, Jupiter's sunless third moon, is determined to confront a violent drug ring even though it may cost him his life. After his wife angrily deserts him, he waits alone for the arrival of killers hired by the company to eliminate him.",13.173,/qmjlDkV8CfCboa8WV06ytZaThqx.jpg,1981-05-22,Outland,False,6.4,474
6244,False,/3ImlQ6VRyv2yKxT1cDYMeWHXMJx.jpg,"[18, 27, 9648, 53]",2655,en,What Lies Beneath,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",22.46,/2L3Cn0CizbSy2E9KJt1SiOSyb6p.jpg,2000-07-21,What Lies Beneath,False,6.4,1528
6245,False,/naUJGskMlDg2HZ0FhsaMG5xPF2K.jpg,"[35, 27]",623491,en,The Babysitter: Killer Queen,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",51.957,/yx7akzfwbPCLlxKgZ1NycThFC92.jpg,2020-09-10,The Babysitter: Killer Queen,False,6.4,1227
6246,False,/q83fNIvLYFYZ3SfRUoBACciOzMX.jpg,"[18, 53]",567748,en,The Guilty,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,25.076,/m8aR1k35oZMOzZ1kYWUyt401mwq.jpg,2021-09-24,The Guilty,False,6.4,1948
6247,False,/a7V3ZXCDAk3P7GjpgfN0IInjh0r.jpg,"[28, 27, 53]",316727,en,The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",67.894,/dx5pKJpGbJc9xrFQ8UR1XrrqmPj.jpg,2016-06-29,The Purge: Election Year,False,6.4,4667
6248,False,/rTWHdg3FsNTtF5jY2jOhMfjgZz9.jpg,"[27, 9648, 53]",297608,en,The Taking of Deborah Logan,"What starts as a poignant medical documentary about Deborah Logan's descent into Alzheimer's disease and her daughter's struggles as caregiver degenerates into a maddening portrayal of dementia at its most frightening, as hair-raising events begin to plague the family and crew and an unspeakable malevolence threatens to tear the very fabric of sanity from them all.",25.363,/77i7EBUyQKOUiZeYQ5tWDGQb0AI.jpg,2014-10-21,The Taking of Deborah Logan,False,6.4,949
6249,False,/wW5YjllCunTV8Jkop0dWCdswI0V.jpg,"[10749, 80, 35]",173847,it,Amiche da morire,Three very different women who are hiding a secret are forced to work together to save their own skin.,6.329,/4rD3eOOyyzVmEPfk1dBadNMcRGN.jpg,2013-03-07,Amiche da morire,False,6.4,234
6250,False,/wcYu1ysKjRXLXLFNC0DDpeQ2Yqs.jpg,"[35, 10749]",58232,en,Chalet Girl,"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.",13.833,/kGLMKnPL1Aw4SndOXMGrlIMOoa6.jpg,2011-02-02,Chalet Girl,False,6.4,571
6251,False,/zIDwM5vjcBMSeTIlGzubpabRgKt.jpg,"[12, 10751, 14]",11359,en,The Indian in the Cupboard,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,30.979,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,1995-07-14,The Indian in the Cupboard,False,6.4,514
6252,False,/6nqDS8PBxUlumbnqVHQYDGZ9el7.jpg,[18],352157,fr,Marguerite,"Paris in the 1920s. Marguerite Dumont is a wealthy woman with a passion for music and the opera. For years, she has performed regularly for a circle of guests. But Marguerite sings tragically out of tune and no one has ever told her. Her husband and her close friends have always encouraged her in her illusions. Things become very complicated the day she gets it into her head to perform in front of a genuine public, at the Opera.",9.911,/lfIleyisIzYfvUNXTLIfJjHiJz6.jpg,2015-09-16,Marguerite,False,6.4,242
6253,False,/ApMIbZwFz0vHZNOu67xEdOY2vlm.jpg,[35],298729,it,Scusate se esisto!,Serena Bruno is an architect who studied and got several masters in different countries of the world but she decides to go back to Italy so she can live and work there. She will soon find out that her native country is not as open minded and she will struggle to find a job that she truly loves and is passionate about. Along the way she will meet Francesco a gay man who will help and support her throughout her journey.,9.904,/gK2EeqBWLDQg29V6SoTKw16NZG7.jpg,2014-11-20,Do You See Me?,False,6.4,518
6254,False,/fsUveJh4H7tCuR0cuDOTLQlv3dh.jpg,"[18, 10749]",121674,en,Great Expectations,"Miss Havisham, a wealthy spinster who wears an old wedding dress and lives in the dilapidated Satis House, asks Pip's 'Uncle Pumblechook' to find a boy to play with her adopted daughter Estella. Pip begins to visit Miss Havisham and Estella, with whom he falls in love, then Pip—a humble orphan—suddenly becomes a gentleman with the help of an unknown benefactor.",13.043,/SGSFzLWqpu7c3A2JMZyE8dkXbf.jpg,2012-11-30,Great Expectations,False,6.4,306
6255,False,/qnL1zxoot9R0FyRXX3GMJAjxzQo.jpg,"[35, 27]",27813,en,Basket Case,A young man carrying a big basket that contains his deformed Siamese-twin brother seeks vengeance on the doctors who separated them against their will.,11.152,/ciyzEBzJ1TnafkgGXr6DqEVh1wk.jpg,1982-04-02,Basket Case,False,6.4,315
